Start Date,End Date,IP Address,Respondent ID,"Did you use the Where to Walk feature in the app to find a local park, open space, or trail?",Why not? (Select all that apply), , .1, .2, .3,"Did you walk at a local park, open space, or trail during the Intentional Walk program?",Why not?,"Before the program, how many days a week did you walk for exercise?","On average, how many days a week during the program did friends and/or family walk with you?","During the last week of the program, how many days a week did you walk for exercise?","Now that the program is over, how many days a week do you plan to continue walking for exercise?",How often did you look at the Top Walkers feature in the app?,Why not?.1,The Top Walkers feature was easy to use,I liked being able to see my place among all walkers on the Top Walkers feature ,"Throughout the program, what were your top motivators to keep walking? (Select all that apply)", .4, .5, .6, .7, .8, .9,"Besides SF Giants tickets, what other prizes would motivate you to keep walking during the program? (e.g. grocery gift card, a pair of walking shoes, exercise equipment, etc.)",Which of the following options would make you walk more during the program? (Select all that apply), .10, .11, .12, .13, .14,How would you rate your health before starting the Intentional Walk Program on 6/1?,How would you rate your health now?,Did you experience any of these while participating in the program? (Select all that apply) , .15, .16, .17, .18,Did participating in the program lead to you making any other healthy lifestyle changes?,What healthy lifestyle changes did you make?,How did you find out about the Intentional Walk program? (select all that apply), .19, .20, .21, .22, .23,Would you participate in this program again?,Why not?.2,Is there anything you would change about the Intentional Walk app?
 , , ,,Response,I already have walking routes,"I am already familiar with local parks, open spaces, and/or trails",I did not see this feature in the app,"I use another method to find local parks, open spaces, and/or trails",Other (please explain),Response,Open-Ended Response,Response,Response,Response,Response,Response,Open-Ended Response,Response,Response,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,The friends and/or family who walked with me or on their own,Other (please explain):,Open-Ended Response,More ideas for where to walk in the app,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,Earning awards/medals in the app,Other (please explain):,Response,Response,More energy,Better sleep quaity,Feel less stressed,Feel happier,Other (please explain),Response,Open-Ended Response,WIC,Rec and Park flyer or newsletter,Info table at Heart of the City Farmers' Market,Info table at Rec and Park Zumba class,"A friend, family member, or colleague",Other (please explain),Response,Open-Ended Response,Open-Ended Response
2023-09-15 10:07:39,2023-09-15 10:13:07,172.58.88.154,,No,I already have walking routes,,,,,No,Because I walk my dog regularly in the neighborhood  so I stick with that path,7,7,7,7,Never,I don’t like to compare myself with other people,Neither agree nor disagree,Neither agree nor disagree,,,,,,The friends and/or family who walked with me or on their own,,,,Reminders/prompts to walk,,,,,Very good,Excellent,,Better sleep quaity,,,,No,,WIC,,,,,,Yes,,More Reminders to walk
2023-09-14 20:49:36,2023-09-14 21:24:52,174.160.120.204,,Yes,,,,,,Yes,,2,2,2,2,Sometimes,,Strongly agree,Strongly agree,Feeling healthier,,,,,,,grocery gift card,,,,Quick facts about the health benefits of walking,,,Excellent,Excellent,More energy,Better sleep quaity,Feel less stressed,Feel happier,,No,,WIC,,,,,,Yes,,no
2023-09-14 16:17:11,2023-09-14 16:22:09,76.210.5.151,,Yes,,,,,,Yes,,2,1,2,3,Sometimes,,Agree,Agree,Feeling healthier,,,Looking at my place on the Top Walkers feature,,,,Grocery gift card ,,,Quick tips for easy ways to walk more,,,,Very good,Very good,More energy,Better sleep quaity,Feel less stressed,,,Yes,Usar menos el car,WIC,,Info table at Heart of the City Farmers' Market,Info table at Rec and Park Zumba class,"A friend, family member, or colleague",,Yes,,Todo muy bien 
2023-09-14 15:35:56,2023-09-14 15:47:23,98.234.89.140,,No,,"I am already familiar with local parks, open spaces, and/or trails",I did not see this feature in the app,,,Yes,,1,1,3,4,Often,,Strongly agree,Strongly agree,Feeling healthier,,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,The friends and/or family who walked with me or on their own,,A pair of walking shoes,,Reminders/prompts to walk,Quick tips for easy ways to walk more,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Good,Very good,More energy,Better sleep quaity,,Feel happier,,Yes,Eating more veggies ,,,,,"A friend, family member, or colleague",,Yes,,"No, I think it’s perfect just the way it is and I’m super grateful for it."
2023-09-14 14:28:01,2023-09-14 14:30:41,12.33.185.244,,Yes,,,,,,Yes,,2,3,4,6,Sometimes,,Agree,Agree,,,,Looking at my place on the Top Walkers feature,,,,Exercise equipment ,More ideas for where to walk in the app,,,,,,Excellent,Excellent,More energy,,,,,Yes,Life,WIC,,,,,,Yes,,No
2023-09-14 14:11:01,2023-09-14 14:17:19,71.198.118.39,,No,I already have walking routes,"I am already familiar with local parks, open spaces, and/or trails",I did not see this feature in the app,"I use another method to find local parks, open spaces, and/or trails",,Yes,,7,7,7,7,Sometimes,,Agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,,,,The friends and/or family who walked with me or on their own,transportation,"Yes to all suggestions, but also free transit passes, museum entries, burritos, etc.",More ideas for where to walk in the app,Reminders/prompts to walk,,,,,Very good,Very good,,,,,I noticed no change since I was already a frequent walker,No,,,,,,"A friend, family member, or colleague",,Yes,,"Yes. On the Top Walkers leaderboard, I wanted to see all walkers with their steps counted, not just the Top 10. As time went on, I was down to #58, which is fine, but it was clear there was no way I'd be in the Top 10. It would've been great to see how much I needed to walk to be #57."
2023-09-14 11:18:55,2023-09-14 11:24:23,98.234.242.211,,No,,,,"I use another method to find local parks, open spaces, and/or trails",,Yes,,3,3,3,3,Sometimes,,Agree,Neither agree nor disagree,Feeling healthier,,,Looking at my place on the Top Walkers feature,The chance to win prizes,,,Gift card,,Reminders/prompts to walk,,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Good,Good,More energy,Better sleep quaity,,Feel happier,,Yes,Make more friends ,WIC,Rec and Park flyer or newsletter,,,,,Yes,,No
2023-09-14 11:14:20,2023-09-14 11:23:09,73.71.169.238,,Yes,,,,,,Yes,,5,3,5,5,Sometimes,,Agree,Neither agree nor disagree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,Looking at my place on the Top Walkers feature,The chance to win prizes,The friends and/or family who walked with me or on their own,,grocery gift card.,,,,Quick facts about the health benefits of walking,Earning awards/medals in the app,,Good,Good,More energy,Better sleep quaity,Feel less stressed,Feel happier,,Yes,exercise,WIC,,,,,,Yes,,no
2023-09-14 10:35:42,2023-09-14 10:49:34,172.58.89.237,,Yes,,,,,,Yes,,5,4,5,5,Never,I didn’t think I need to ,Neither agree nor disagree,Neither agree nor disagree,,Being a positive role model for my children/family/friends,,,,,,Didn’t do it for the gift is more my health ,More ideas for where to walk in the app,,,,,,Very good,Very good,More energy,,,,,Yes,Eating ,WIC,,,,,,Yes,,No
2023-09-14 10:28:28,2023-09-14 10:30:17,107.115.29.82,,Yes,,,,,,Yes,,7,3,6,4,Sometimes,,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
